loan_num,request_id,lender_id,supplier_id,borrower_id,amount,age renge,status,sector,monthly house income,work status,number of employees at home,seniority of work,education,owned apartment,mortgage,ind_default
1673173,82253639,544709,61188669,724904031,4400,50+,divorced,Energy & Electricity,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
6682804,22155294,788799,27214000,283650683,21324,50+,single,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
9542294,72027756,897181,36860782,186829100,20300,30-39,married,Energy & Electricity,"0-12,000",self-employed,1,0-2,no education,not home owner,not mortgage,no
6210888,27025368,372534,86742475,103291814,4700,50+,single parent,Banking & Capital Market,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
5361233,32743205,910295,97220084,870393885,203000,18-29,married,Banking & Capital Market,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
3993820,18414028,782394,83361635,562558227,30900,40-49,married,Medicine,"19,001-30,000",salaried employee,2,5+,no education,home owner,not mortgage,no
9023364,49032805,206623,66968439,745368498,91350,40-49,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
2778738,11577827,769198,82904438,812364265,50000,30-39,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
3049296,70432067,320915,79465294,908664318,38000,40-49,married,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,mortgage,no
6577410,82769985,702162,13912142,410835211,60000,40-49,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
8855528,14477446,457349,56446211,457809000,40000,40-49,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
3808787,23507303,372257,12678990,707211599,55000,50+,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,mortgage,no
1125579,46213068,902073,55345077,468417484,41718,40-49,single,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
4900747,95070714,740960,78765151,945113374,6234,40-49,married,Energy & Electricity,"12,001-19,000",retired,2,0-2,high school,home owner,not mortgage,no
1701848,89354301,436867,57365467,503676884,40000,50+,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
9328601,41054368,704976,81431644,416868627,10320,30-39,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,no education,home owner,mortgage,no
8766530,37978375,767478,95313923,729156968,65975,50+,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
5922858,69172219,464823,97964871,305475708,14000,40-49,married,Energy & Electricity,"19,001-30,000",salaried employee,2,5+,no education,home owner,not mortgage,no
6480123,53152295,219419,85677502,432578605,20000,50+,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
2455525,19724606,181456,23394939,365982611,4234,40-49,other,Energy & Electricity,"12,001-19,000",salaried employee,2,0-2,Bachelor's degree,not home owner,not mortgage,no
8666886,36066963,342906,28811739,691696824,32911,18-29,married,Transportation,"12,001-19,000",salaried employee,1,0-2,Bachelor's degree,not home owner,not mortgage,no
4664543,44626935,673787,70851393,500877528,18000,50+,married,Energy & Electricity,"19,001-30,000",salaried employee,2,5+,high school,home owner,not mortgage,no
3317354,98516770,522446,63529122,964821728,33000,30-39,single,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,not mortgage,no
4456476,27232631,649597,32935807,797393795,11500,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
2872486,75585299,815594,19465009,878471927,42000,50+,married,Banking & Capital Market,"19,001-30,000",retired,2,5+,high school,home owner,not mortgage,no
1117873,16644716,212287,76384276,318970580,23000,40-49,married,Banking & Capital Market,"12,001-19,000",salaried employee,2,5+,no education,not home owner,not mortgage,no
1949753,99318988,910191,67825646,474110082,8240,50+,married,Energy & Electricity,"12,001-19,000",retired,1,0-2,Bachelor's degree,home owner,not mortgage,no
6906810,85641639,111073,89068523,955352949,100000,30-39,divorced,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,mortgage,no
2737843,81104208,234705,57682563,861091114,12600,40-49,single,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,mortgage,no
9794540,39527169,192168,51406398,331226339,41094,40-49,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,not mortgage,no
4438756,22588281,429777,25439608,632575220,10320,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
7580734,20873443,996054,63717004,431262692,100000,40-49,divorced,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
8105742,96350133,911977,24232096,405273434,12400,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,high school,home owner,not mortgage,no
4929781,91109639,855107,39003842,347456683,10560,18-29,single,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
4030259,60398977,840005,71193431,837980931,8407,50+,widower,Energy & Electricity,"0-12,000",retired,1,0-2,Bachelor's degree,home owner,not mortgage,no
6176790,55434905,645742,16819036,552584745,21823,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,high school,home owner,mortgage,no
7344258,25444062,806374,63043288,811899133,79170,30-39,divorced,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
8321286,18211545,868218,53960269,513853773,12400,30-39,divorced,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,no education,home owner,not mortgage,no
6406556,78729680,711195,41557074,846154202,10320,30-39,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,high school,not home owner,mortgage,no
4211495,10288639,598482,58253698,940810516,46116,30-39,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
8079373,31476821,630541,74042802,499032833,89320,18-29,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
6695845,58410917,581755,98693583,574860244,19400,18-29,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
4211022,53844386,519811,10672083,612908076,30450,30-39,single,Real Estate,"19,001-30,000",salaried employee,1,5+,no education,home owner,mortgage,no
6960647,28568708,603684,98628766,354646730,6000,40-49,other,Energy & Electricity,"12,001-19,000",salaried employee,2,0-2,Bachelor's degree,not home owner,not mortgage,no
2267985,83340892,800750,14116318,667713909,36000,50+,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
1633284,96769494,161586,92789090,566492159,12688,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
3610156,66808989,544087,23969151,992869299,9840,40-49,divorced,Energy & Electricity,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
6943182,54751074,796168,62423816,346625734,12688,30-39,divorced,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
9109461,44576329,553028,87505175,400538017,11500,50+,married,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
5820857,18468477,835478,68412800,204131703,15150,40-49,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
8488045,72728253,566526,67075533,965459574,4900,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,0-2,master's degree,not home owner,not mortgage,no
1379384,53014945,317380,92980804,880728540,14860,40-49,divorced,Energy & Electricity,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
9812507,24688302,829952,98252353,943977641,30756,18-29,single,Banking & Capital Market,"12,001-19,000",self-employed,1,0-2,high school,not home owner,not mortgage,no
5720497,70559411,364074,60909591,749452538,4568,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,0-2,Bachelor's degree,home owner,not mortgage,no
6114988,54169019,567466,65811464,594253805,16995,40-49,married,Medicine,"12,001-19,000",salaried employee,2,5+,no education,home owner,not mortgage,no
3122807,95839885,143203,15291049,357381462,91373,30-39,single,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,mortgage,no
7120443,30940255,742325,47067249,843827619,7484,40-49,divorced,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,home owner,mortgage,no
3144311,39992092,347368,64816900,375114040,20800,40-49,married,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
6591397,67912539,338637,72552692,684057783,33000,30-39,married,Real Estate,"19,001-30,000",self-employed,1,0-2,high school,not home owner,mortgage,no
5786187,84391623,727227,18543864,906151176,42500,50+,married,Banking & Capital Market,"19,001-30,000",retired,1,unemployed,high school,home owner,not mortgage,no
3961717,83246748,141828,27104037,164447245,10000,18-29,single,Energy & Electricity,"12,001-19,000",self-employed,1,5+,high school,not home owner,not mortgage,no
6657972,46548830,223104,30339358,892152928,19988,30-39,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,home owner,mortgage,no
3506650,47793438,285335,29178098,224659804,5329,18-29,single,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,high school,not home owner,not mortgage,no
6298905,28256149,151582,59819096,473149500,80000,18-29,single,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,mortgage,no
7569012,59249817,115554,36975787,932426381,14616,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
1449668,92036062,451789,46680094,329878486,12400,40-49,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,mortgage,no
4927317,17926190,354355,69324805,867745628,17900,18-29,single,Medicine,"0-12,000",self-employed,1,0-2,Bachelor's degree,not home owner,not mortgage,no
6100919,73864276,785691,70871598,934752784,10320,30-39,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
3748080,10661116,341343,63958893,505965796,51000,30-39,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
5530908,38318309,700388,99942842,989112975,7280,50+,married,Energy & Electricity,"19,001-30,000",retired,1,0-2,high school,home owner,not mortgage,no
4921579,29633047,356094,50480013,562352710,34505,40-49,married,Medicine,"19,001-30,000",salaried employee,2,0-2,Bachelor's degree,home owner,not mortgage,no
1769979,45587031,187777,69836804,128096524,50000,40-49,married,Banking & Capital Market,"19,001-30,000",salaried employee,2,5+,no education,not home owner,not mortgage,no
1302848,45221825,606207,39897617,585110969,15500,30-39,married,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,mortgage,no
2783919,67243011,768768,94995577,930638141,12400,40-49,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,mortgage,no
6243610,52637827,800732,97581414,574843826,26000,40-49,single,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,mortgage,no
9390931,80072801,461165,29662693,405923909,12079,18-29,married,Energy & Electricity,"19,001-30,000",salaried employee,1,0-2,master's degree,home owner,not mortgage,no
4352895,10584969,475894,10543390,488775485,22000,50+,widower,Energy & Electricity,"0-12,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
6934794,73709596,141360,96359343,560238720,212643,30-39,married,Banking & Capital Market,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
7346771,96504435,882225,40747555,532345732,6189,40-49,divorced,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
8522263,79255308,784131,61583797,498884976,9500,50+,other,Energy & Electricity,"12,001-19,000",salaried employee,2,0-2,Bachelor's degree,not home owner,not mortgage,no
9301493,27824132,500158,88989800,438980814,37555,18-29,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
9538082,47292309,588629,13592901,973650763,22763,30-39,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,mortgage,no
6981587,59075365,828913,44276107,596260069,6186,50+,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
6378233,78630365,178168,59437345,755289802,57000,40-49,single,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
1517716,15659051,455123,34353386,580411399,13000,40-49,married,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
6631041,23895266,289335,54798196,852290042,75000,30-39,married,Real Estate,"19,001-30,000",self-employed,2,5+,Bachelor's degree,not home owner,not mortgage,no
6529359,57069910,767374,59719639,736795135,10320,18-29,single,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
9504026,19881722,688744,22847886,419071780,12400,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,master's degree,not home owner,not mortgage,no
6381876,91190644,891311,48903773,176407303,10320,30-39,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
1052819,23837481,189504,11222973,510610311,3800,40-49,single parent,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
6820624,45163948,468984,16923069,531409878,10049,18-29,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
8454268,21021631,548372,62878999,433010003,45000,30-39,married,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
7890427,34134364,774451,23795198,520491434,13835,18-29,single,Real Estate,"19,001-30,000",salaried employee,1,0-2,Bachelor's degree,home owner,mortgage,yes
1313478,31125222,648160,34367976,589331817,101500,30-39,single,Banking & Capital Market,"19,001-30,000",self-employed,1,5+,Bachelor's degree,home owner,not mortgage,no
6570345,43248551,254085,72328394,940347076,18900,40-49,married,Medicine,"19,001-30,000",self-employed,1,5+,no education,home owner,mortgage,no
8578113,28953750,306193,62802551,382989928,30465,40-49,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
1450382,71386403,320335,46751976,463943108,75000,40-49,divorced,Real Estate,"0-12,000",self-employed,1,5+,Bachelor's degree,not home owner,not mortgage,no
5447678,11358931,602514,46799256,552009458,5700,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,0-2,master's degree,not home owner,not mortgage,no
2457988,60648062,390263,40350539,214018973,7734,40-49,other,Energy & Electricity,"12,001-19,000",salaried employee,2,0-2,Bachelor's degree,not home owner,not mortgage,no
9435798,24535897,789534,94993816,647448496,8550,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,0-2,master's degree,not home owner,not mortgage,no
3649573,98029882,846291,53912912,586405913,13328,40-49,divorced,Energy & Electricity,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
3991458,53428441,988349,75862517,896305516,25731,40-49,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,high school,home owner,mortgage,no
3271610,48565334,391258,57701899,456375700,12300,50+,married,Energy & Electricity,"19,001-30,000",not working,0,0-2,Bachelor's degree,not home owner,not mortgage,no
1216812,11393341,875728,96719060,862894415,5189,18-29,divorced,Energy & Electricity,"19,001-30,000",self-employed,1,5+,high school,not home owner,not mortgage,no
7237933,10980647,923343,36976710,930404182,8500,40-49,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,home owner,mortgage,no
2636357,37156847,743165,98790346,726831893,99990,50+,married,Real Estate,"12,001-19,000",self-employed,1,5+,high school,home owner,not mortgage,no
7334057,22673346,711980,61421872,892658851,17883,40-49,married,Energy & Electricity,"19,001-30,000",retired,1,0-2,Bachelor's degree,home owner,not mortgage,no
8992955,58774286,134872,87745138,568638969,60000,40-49,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,mortgage,no
6792914,80759750,416358,44031481,424160939,10100,18-29,single,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,high school,not home owner,not mortgage,no
6027694,24525226,189058,96872173,210466546,100000,18-29,single,Real Estate,"0-12,000",self-employed,1,5+,Bachelor's degree,not home owner,not mortgage,no
6888887,58225196,896621,60557393,107863718,6000,30-39,married,Banking & Capital Market,"12,001-19,000",salaried employee,2,0-2,no education,home owner,mortgage,no
6928227,75096888,983197,63459435,751503617,122988,18-29,single,Real Estate,"19,001-30,000",self-employed,1,0-2,Bachelor's degree,home owner,not mortgage,no
7471940,86835886,250914,30105421,670164593,21000,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,0-2,Bachelor's degree,not home owner,not mortgage,no
5263010,34134671,722633,62462353,768091533,5075,18-29,married,Energy & Electricity,"0-12,000",salaried employee,1,5+,high school,home owner,not mortgage,no
