Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
NU Hotel,"Boerum Hill, Brooklyn",8.8 km from center,7.9,Good,₪ 695,738 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Best Western Plus Soho Hotel,"Chinatown, New York",5.8 km from center,8.9,Excellent,₪ 803,115 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
DoubleTree by Hilton Hotel & Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,₪ 876,380 reviews,Junior King Suite with Seating Area,"Private suite
1 king bed",FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Bryant Park Hotel,"Manhattan, New York",1.7 km from center,8.7,Excellent,"₪ 1,118",810 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,₪ 657,"8,478 reviews",Deluxe Double Room (2 Adults + 1 Child),2 full beds,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Wyndham Garden Long Island City,"Long Island City, Queens",3.2 km from center,7.5,Good,₪ 803,690 reviews,Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Millennium Downtown New York,"Wall Street - Financial District, New York",6.8 km from center,7.3,Good,₪ 591,"3,645 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
JG Sohotel,"SoHo, New York",5.7 km from center,7.2,Good,₪ 601,34 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Royalton Park Avenue,"NoMad, New York",2.7 km from center,8.2,Very Good,₪ 854,975 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Marlton Hotel,"Greenwich Village, New York",4.1 km from center,8.2,Very Good,"₪ 1,205",650 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
LPWELLNESS,"Manhattan, New York",1.9 km from center,1.0,Review score,₪ 743,2 reviews,Apartment,"Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 23m²
2 beds (1 twin, 1 full)",FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",2.5 km from center,8.2,Very Good,₪ 876,"3,960 reviews",King Room,"Private suite
1 king bed",FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Night Hotel Broadway,"Upper West Side, New York",2.9 km from center,6.0,Review score,₪ 520,"2,899 reviews",Queen Room - Non-Smoking,1 queen bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Wythe Hotel,"Williamsburg, Brooklyn",5.5 km from center,8.6,Excellent,"₪ 1,067",194 reviews,Studio Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Artezen Hotel,"Wall Street - Financial District, New York",6.9 km from center,9.0,Wonderful,₪ 690,904 reviews,Deluxe King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",1.7 km from center,7.6,Good,₪ 840,"15,172 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
1 Hotel Central Park,"Manhattan, New York",0.6 km from center,8.4,Very Good,"₪ 1,573",490 reviews,Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Benjamin Royal Sonesta New York,"Midtown East, New York",1.5 km from center,7.6,Good,₪ 994,594 reviews,Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,₪ 840,"11,109 reviews",Classic 1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Good,₪ 715,"3,820 reviews",Premium Queen View,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hudson River Hotel,"Hudson Yards, New York",1.9 km from center,5.7,Review score,₪ 521,826 reviews,King Room - Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Mondrian Park Avenue,"NoMad, New York",2.6 km from center,6.4,Review score,₪ 730,"1,061 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,₪ 791,"1,153 reviews",Superior Queen Room with Balcony,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sonder The William,"Murray Hill, New York",2 km from center,8.0,Very Good,₪ 932,400 reviews,Queen Room,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 20m²
1 queen bed",Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
citizenM New York Times Square,"Manhattan, New York",0.8 km from center,8.7,Excellent,₪ 840,"2,757 reviews",King Room,1 king bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Wallace Hotel,"Upper West Side, New York",1.5 km from center,9.3,Wonderful,"₪ 1,280",879 reviews,Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Best Western Premier Empire State Hotel,"NoMad, New York",2.5 km from center,8.2,Very Good,₪ 953,904 reviews,Queen Room - Non-Smoking,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Fairfield Inn by Marriott New York Manhattan/Financial District,"Wall Street - Financial District, New York",7.2 km from center,7.5,Good,₪ 656,"2,282 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",0.9 km from center,7.7,Good,₪ 913,"1,466 reviews",Traditional King Room - Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Grayson Hotel,"Manhattan, New York",1.8 km from center,8.3,Very Good,₪ 838,59 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Lower East Side, an IHG Hotel","Lower East Side, New York",5.6 km from center,7.9,Good,₪ 766,705 reviews,King Leisure Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
HI NYC Hostel,"Upper West Side, New York",3.7 km from center,8.2,Very Good,"₪ 1,056","8,683 reviews",Private 4-Bed Dormitory,4 twin beds,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
MOXY NYC Times Square,"Manhattan, New York",1.9 km from center,8.0,Very Good,₪ 950,"8,722 reviews",Double Room,1 full bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
City Club Hotel,"Manhattan, New York",1.4 km from center,7.3,Good,₪ 624,"1,263 reviews",Petite Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Herald 8 by LuxUrban,"Manhattan, New York",2 km from center,7.7,Good,"₪ 1,110","2,349 reviews",Deluxe Double Room with Balcony,2 full beds,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Walker Hotel Tribeca,"Chinatown, New York",5.8 km from center,8.1,Very Good,"₪ 1,578","1,277 reviews",Walker Cozy King,1 king bed,Free cancellation,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,"₪ 1,714","1,459 reviews",Standard King Room,1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",Jersey City,6.4 km from center,8.2,Very Good,"₪ 1,338","1,290 reviews",Suite with Two Beds - Non-Smoking,"Private suite
3 beds (1 sofa bed, 2 queens)",FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,"₪ 1,371","1,531 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Good,"₪ 2,046","1,400 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.6,Good,"₪ 1,379",211 reviews,Classic King,Multiple bed types,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.7,Excellent,"₪ 2,135",284 reviews,Superior Courtyard King,1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
W Hoboken,Hoboken,5 km from center,8.4,Very Good,"₪ 1,826",250 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,"₪ 1,085","2,522 reviews",Double Room - Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Aloft Brooklyn,"Downtown Brooklyn, Brooklyn",8.5 km from center,6.0,Review score,"₪ 1,386",875 reviews,"Guest Room, 1 King",1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sonesta Simply Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,"₪ 1,286",654 reviews,Studio Queen Suite with Roll-In Shower - Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,"₪ 1,119",961 reviews,King Room - Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard By Marriott Jersey City Newport,"Newport, Jersey City",6.3 km from center,8.3,Very Good,"₪ 1,606",417 reviews,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Americana Inn,"Manhattan, New York",1.8 km from center,7.2,Good,"₪ 1,173",651 reviews,Standard Double Room with Shared Bathroom,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,"₪ 1,166","12,925 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,"₪ 1,569","2,876 reviews",Queen Pod - Disability Access,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,₪ 848,"7,582 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Feather Factory Hotel,"Long Island City, Queens",4.3 km from center,8.0,Very Good,₪ 939,"1,419 reviews",Standard Room Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Canopy By Hilton Jersey City Arts District,"Downtown Jersey City, Jersey City",7.3 km from center,8.9,Excellent,"₪ 1,789",667 reviews,King Room with Bath Tub - Mobility/Hearing Accessible,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
American Dream,"Gramercy, New York",3.2 km from center,8.3,Very Good,"₪ 1,243",168 reviews,Twin Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Fairfield Inn & Suites New York Manhattan/Downtown East,"Chinatown, New York",6.2 km from center,8.0,Very Good,"₪ 1,588",336 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
